"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Type/Subtype","Info"
"728","12.680708353","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
"729","12.680711492","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
"730","12.680715583","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
"733","12.685857500","192.168.33.211","103.25.231.30","TCP","150","-36 dBm,-42 dBm,-36 dBm","144.444","","-36 dBm","QoS Data","58879  >  443 [ACK] Seq=4856 Ack=924923 Win=5190 Len=0 TSval=2942639352 TSecr=898421546"
"734","12.685865833","192.168.33.211","103.25.231.30","TCP","150","-36 dBm,-42 dBm,-36 dBm","144.444","","-36 dBm","QoS Data","58879  >  443 [ACK] Seq=4856 Ack=928841 Win=5190 Len=0 TSval=2942639353 TSecr=898421546"
"736","12.690916559","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","19.5","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=913169 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"737","12.690941382","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","19.5","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=914475 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"738","12.690948092","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","19.5","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=915781 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"739","12.690952534","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","19.5","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=917087 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"740","12.690956881","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","19.5","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=918393 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
